Size,Quality,Year,Mean,Min,Max
<40m2,einfach,bis 1918,3.99,3.41,5.2
<40m2,mittel,bis 1918,4.69,3.38,5.87
<40m2,gut,bis 1918,3.98,3.3,4.5
40–60m2,einfach,bis 1918,5.24,4.56,6.0
40–60m2,mittel,bis 1918,4.76,4.4,5.3
40–60m2,gut,bis 1918,4.84,4.36,5.7
60–90m2,einfach,bis 1918,4.48,4.13,4.91
60–90m2,mittel,bis 1918,4.95,4.38,5.38
60–90m2,gut,bis 1918,6.52,6.02,6.7
90m2+,einfach,bis 1918,4.43,3.18,5.57
90m2+,mittel,bis 1918,5.46,4.41,6.53
90m2+,gut,bis 1918,3.57,3.28,4.0
<40m2,einfach,1919–1949,5.21,4.37,5.93
<40m2,mittel,1919–1949,5.03,4.51,5.62
<40m2,gut,1919–1949,5.22,4.74,6.0
40–60m2,einfach,1919–1949,5.25,4.8,5.5
40–60m2,mittel,1919–1949,6.27,5.58,6.5
40–60m2,gut,1919–1949,5.28,5.03,5.72
60–90m2,einfach,1919–1949,7.04,5.1,7.97
60–90m2,mittel,1919–1949,4.37,3.92,5.0
60–90m2,gut,1919–1949,5.65,5.14,6.4
90m2+,einfach,1919–1949,6.02,5.22,7.0
90m2+,mittel,1919–1949,5.7,4.79,6.99
90m2+,gut,1919–1949,5.26,4.65,6.09
<40m2,einfach,1950–1955,5.79,5.35,6.79
<40m2,mittel,1950–1955,6.68,5.1,7.47
<40m2,gut,1950–1955,5.52,4.73,6.18
40–60m2,einfach,1950–1955,7.95,5.89,9.97
40–60m2,mittel,1950–1955,3.83,3.29,4.39
40–60m2,gut,1950–1955,5.02,4.0,6.1
60–90m2,einfach,1950–1955,3.36,3.07,3.46
60–90m2,mittel,1950–1955,5.18,4.39,5.86
60–90m2,gut,1950–1955,4.55,4.39,5.04
90m2+,einfach,1950–1955,4.56,4.08,5.1
90m2+,mittel,1950–1955,4.35,3.99,4.6
90m2+,gut,1950–1955,6.11,5.53,6.61
<40m2,einfach,1956–1964,5.72,4.63,6.41
<40m2,mittel,1956–1964,4.49,4.1,4.95
<40m2,gut,1956–1964,6.48,5.4,8.49
40–60m2,einfach,1956–1964,3.89,3.24,4.27
40–60m2,mittel,1956–1964,5.47,4.44,6.52
40–60m2,gut,1956–1964,4.09,3.42,4.7
60–90m2,einfach,1956–1964,5.05,4.48,5.68
60–90m2,mittel,1956–1964,5.06,4.56,5.71
60–90m2,gut,1956–1964,4.95,4.39,5.57
