,Size,Quality,Year,Mean,Min,Max
0,<40 m²,einfach,bis 1918,7.9,5.5,12.97
1,<40 m²,einfach,1919–1949,7.8,6.0,8.68
2,<40 m²,einfach,1950–1964,6.43,5.54,9.03
3,<40 m²,einfach,1965–1972,6.8,5.99,8.83
4,<40 m²,einfach,1973–1990 West,7.57,7.43,8.85
5,<40 m²,einfach,1973–1990 Ost,7.14,6.85,7.97
6,<40 m²,mittel,bis 1918,8.43,6.72,12.24
7,<40 m²,mittel,1919–1949,7.66,6.44,8.55
8,<40 m²,mittel,1950–1964,6.85,5.65,9.05
9,<40 m²,mittel,1965–1972,6.57,5.89,8.24
10,<40 m²,mittel,1973–1990 West,7.73,5.33,8.16
11,<40 m²,mittel,1973–1990 Ost,6.93,6.45,7.23
12,<40 m²,gut,bis 1918,11.44,6.54,14.23
13,<40 m²,gut,1919–1949,7.5,6.44,9.48
14,<40 m²,gut,1950–1964,7.47,6.36,9.31
15,<40 m²,gut,1965–1972,8.9,8.15,9.75
16,<40 m²,gut,1973–1990 West,8.31,7.47,10.09
17,<40 m²,gut,1973–1990 Ost,7.13,6.7,8.73
0,40–60 m²,einfach,bis 1918,6.75,5.26,9.94
1,40–60 m²,einfach,1919–1949,6.4,5.42,8.19
2,40–60 m²,einfach,1950–1964,6.0,5.38,8.0
3,40–60 m²,einfach,1965–1972,5.88,5.05,7.01
4,40–60 m²,einfach,1973–1990 West,7.46,6.2,8.65
5,40–60 m²,einfach,1973–1990 Ost,6.01,5.72,6.55
6,40–60 m²,einfach,1991–2002,8.36,7.71,10.2
7,40–60 m²,einfach,2003–2017,11.61,9.7,15.11
8,40–60 m²,mittel,bis 1918,7.43,5.41,10.25
9,40–60 m²,mittel,1919–1949,6.74,5.63,7.76
10,40–60 m²,mittel,1950–1964,6.11,5.39,7.64
11,40–60 m²,mittel,1965–1972,5.98,5.43,6.94
12,40–60 m²,mittel,1973–1990 West,7.73,6.36,8.77
13,40–60 m²,mittel,1973–1990 Ost,5.95,5.4,6.7
14,40–60 m²,mittel,1991–2002,8.18,7.43,9.17
15,40–60 m²,mittel,2003–2017,9.85,7.28,12.5
16,40–60 m²,gut,bis 1918,8.04,5.99,10.97
17,40–60 m²,gut,1919–1949,6.9,6.01,9.14
18,40–60 m²,gut,1950–1964,6.52,5.65,7.85
19,40–60 m²,gut,1965–1972,7.13,5.29,10.0
20,40–60 m²,gut,1973–1990 West,8.42,7.38,9.22
21,40–60 m²,gut,1973–1990 Ost,6.01,5.83,6.96
22,40–60 m²,gut,1991–2002,9.75,8.14,11.12
23,40–60 m²,gut,2003–2017,9.88,7.75,11.98
24,60–90 m²,einfach,bis 1918,6.33,4.83,10.0
25,60–90 m²,einfach,1919–1949,5.87,5.06,7.27
26,60–90 m²,einfach,1950–1964,5.58,4.83,6.81
27,60–90 m²,einfach,1965–1972,5.45,4.89,6.08
28,60–90 m²,einfach,1973–1990 West,7.27,6.08,9.0
29,60–90 m²,einfach,1973–1990 Ost,5.27,4.99,5.73
30,60–90 m²,einfach,1991–2002,7.72,6.23,8.59
31,60–90 m²,einfach,2003–2017,12.89,8.49,14.83
32,60–90 m²,mittel,bis 1918,6.77,4.84,10.0
33,60–90 m²,mittel,1919–1949,6.24,5.09,7.32
34,60–90 m²,mittel,1950–1964,6.0,5.28,7.08
35,60–90 m²,mittel,1965–1972,5.71,5.08,6.4
36,60–90 m²,mittel,1973–1990 West,8.0,5.7,9.11
37,60–90 m²,mittel,1973–1990 Ost,5.27,4.6,5.76
38,60–90 m²,mittel,1991–2002,7.9,6.73,9.03
39,60–90 m²,mittel,2003–2017,10.09,8.91,12.2
40,60–90 m²,gut,bis 1918,7.49,5.62,10.92
41,60–90 m²,gut,1919–1949,7.1,5.91,9.15
42,60–90 m²,gut,1950–1964,6.54,5.5,8.37
43,60–90 m²,gut,1965–1972,6.65,5.2,8.31
44,60–90 m²,gut,1973–1990 West,8.32,6.61,9.84
45,60–90 m²,gut,1973–1990 Ost,5.57,5.11,6.29
46,60–90 m²,gut,1991–2002,9.09,7.45,11.02
47,60–90 m²,gut,2003–2017,10.22,8.84,12.75
48,90+ m²,einfach,bis 1918,6.23,4.79,9.14
49,90+ m²,einfach,1919–1949,6.13,5.14,7.16
50,90+ m²,einfach,1950–1964,5.47,4.89,6.05
51,90+ m²,einfach,1965–1972,7.19,5.83,8.28
52,90+ m²,einfach,1973–1990 West,5.23,4.78,5.48
53,90+ m²,einfach,1991–2002,7.96,6.64,9.32
54,90+ m²,einfach,2003–2017,11.95,8.52,13.77
55,90+ m²,mittel,bis 1918,6.77,4.88,9.8
56,90+ m²,mittel,1919–1949,6.01,5.1,8.51
57,90+ m²,mittel,1950–1964,6.77,5.62,11.41
58,90+ m²,mittel,1965–1972,5.4,5.06,6.14
59,90+ m²,mittel,1973–1990 West,7.64,5.97,8.66
60,90+ m²,mittel,1973–1990 Ost,5.25,4.61,5.56
61,90+ m²,mittel,1991–2002,8.19,7.21,9.54
62,90+ m²,mittel,2003–2017,10.08,8.8,12.73
63,90+ m²,gut,bis 1918,7.33,5.48,10.48
64,90+ m²,gut,1919–1949,6.69,5.69,8.93
65,90+ m²,gut,1950–1964,8.23,6.69,9.3
66,90+ m²,gut,1965–1972,8.3,7.54,8.89
67,90+ m²,gut,1973–1990 West,9.0,7.06,11.94
68,90+ m²,gut,1973–1990 Ost,5.32,5.08,5.93
69,90+ m²,gut,1991–2002,9.8,8.17,11.7
70,90+ m²,gut,2003–2017,11.5,9.34,13.69
