Size,Quality,Year,Mean,Min,Max
<40 m2,einfach,bis 1918,8.42,5.86,13.82
<40 m2,einfach,1919–1949,8.32,6.4,9.25
<40 m2,einfach,1950–1964,6.85,5.9,9.62
<40 m2,einfach,1965–1972,7.24,6.39,9.41
<40 m2,einfach,1973–1990 West,8.06,7.92,9.43
<40 m2,einfach,1973–1990 Ost,7.61,7.3,8.5
<40 m2,mittel,bis 1918,8.98,7.16,13.04
<40 m2,mittel,1919–1949,8.16,6.86,9.11
<40 m2,mittel,1950–1964,7.3,6.02,9.64
<40 m2,mittel,1965–1972,7.0,6.27,8.78
<40 m2,mittel,1973–1990 West,8.24,5.68,8.7
<40 m2,mittel,1973–1990 Ost,7.39,6.87,7.7
<40 m2,gut,bis 1918,12.19,6.97,15.17
<40 m2,gut,1919–1949,7.99,6.86,10.1
<40 m2,gut,1950–1964,7.96,6.78,9.92
<40 m2,gut,1965–1972,9.49,8.68,10.39
<40 m2,gut,1973–1990 West,8.85,7.96,10.75
<40 m2,gut,1973–1990 Ost,7.6,7.14,9.31
