,Size,Quality,Year,Mean,Min,Max
0,<40 m²,einfach,bis 1918,7.99,5.56,13.11
1,<40 m²,einfach,1919–1949,7.89,6.07,8.78
2,<40 m²,einfach,1950–1964,6.5,5.6,9.13
3,<40 m²,einfach,1965–1972,6.87,6.06,8.93
4,<40 m²,einfach,1973–1990 West,7.65,7.51,8.95
5,<40 m²,einfach,1973–1990 Ost,7.22,6.93,8.06
6,<40 m²,mittel,bis 1918,8.52,6.79,12.37
7,<40 m²,mittel,1919–1949,7.74,6.51,8.64
8,<40 m²,mittel,1950–1964,6.93,5.71,9.15
9,<40 m²,mittel,1965–1972,6.64,5.95,8.33
10,<40 m²,mittel,1973–1990 West,7.82,5.39,8.25
11,<40 m²,mittel,1973–1990 Ost,7.01,6.52,7.31
12,<40 m²,gut,bis 1918,11.57,6.61,14.39
13,<40 m²,gut,1919–1949,7.58,6.51,9.58
14,<40 m²,gut,1950–1964,7.55,6.43,9.41
15,<40 m²,gut,1965–1972,9.0,8.24,9.86
16,<40 m²,gut,1973–1990 West,8.4,7.55,10.2
17,<40 m²,gut,1973–1990 Ost,7.21,6.77,8.83
0,40–60 m²,einfach,bis 1918,6.82,5.32,10.05
1,40–60 m²,einfach,1919–1949,6.47,5.48,8.28
2,40–60 m²,einfach,1950–1964,6.07,5.44,8.09
3,40–60 m²,einfach,1965–1972,5.94,5.11,7.09
4,40–60 m²,einfach,1973–1990 West,7.54,6.27,8.75
5,40–60 m²,einfach,1973–1990 Ost,6.08,5.78,6.62
6,40–60 m²,einfach,1991–2002,8.45,7.79,10.31
7,40–60 m²,einfach,2003–2017,11.74,9.81,15.28
8,40–60 m²,mittel,bis 1918,7.51,5.47,10.36
9,40–60 m²,mittel,1919–1949,6.81,5.69,7.85
10,40–60 m²,mittel,1950–1964,6.18,5.45,7.72
11,40–60 m²,mittel,1965–1972,6.05,5.49,7.02
12,40–60 m²,mittel,1973–1990 West,7.82,6.43,8.87
13,40–60 m²,mittel,1973–1990 Ost,6.02,5.46,6.77
14,40–60 m²,mittel,1991–2002,8.27,7.51,9.27
15,40–60 m²,mittel,2003–2017,9.96,7.36,12.64
16,40–60 m²,gut,bis 1918,8.13,6.06,11.09
17,40–60 m²,gut,1919–1949,6.98,6.08,9.24
18,40–60 m²,gut,1950–1964,6.59,5.71,7.94
19,40–60 m²,gut,1965–1972,7.21,5.35,10.11
20,40–60 m²,gut,1973–1990 West,8.51,7.46,9.32
21,40–60 m²,gut,1973–1990 Ost,6.08,5.89,7.04
22,40–60 m²,gut,1991–2002,9.86,8.23,11.24
23,40–60 m²,gut,2003–2017,9.99,7.84,12.11
24,60–90 m²,einfach,bis 1918,6.4,4.88,10.11
25,60–90 m²,einfach,1919–1949,5.93,5.12,7.35
26,60–90 m²,einfach,1950–1964,5.64,4.88,6.88
27,60–90 m²,einfach,1965–1972,5.51,4.94,6.15
28,60–90 m²,einfach,1973–1990 West,7.35,6.15,9.1
29,60–90 m²,einfach,1973–1990 Ost,5.33,5.04,5.79
30,60–90 m²,einfach,1991–2002,7.8,6.3,8.68
31,60–90 m²,einfach,2003–2017,13.03,8.58,14.99
32,60–90 m²,mittel,bis 1918,6.84,4.89,10.11
33,60–90 m²,mittel,1919–1949,6.31,5.15,7.4
34,60–90 m²,mittel,1950–1964,6.07,5.34,7.16
35,60–90 m²,mittel,1965–1972,5.77,5.14,6.47
36,60–90 m²,mittel,1973–1990 West,8.09,5.76,9.21
37,60–90 m²,mittel,1973–1990 Ost,5.33,4.65,5.82
38,60–90 m²,mittel,1991–2002,7.99,6.8,9.13
39,60–90 m²,mittel,2003–2017,10.2,9.01,12.33
40,60–90 m²,gut,bis 1918,7.57,5.68,11.04
41,60–90 m²,gut,1919–1949,7.18,5.98,9.25
42,60–90 m²,gut,1950–1964,6.61,5.56,8.46
43,60–90 m²,gut,1965–1972,6.72,5.26,8.4
44,60–90 m²,gut,1973–1990 West,8.41,6.68,9.95
45,60–90 m²,gut,1973–1990 Ost,5.63,5.17,6.36
46,60–90 m²,gut,1991–2002,9.19,7.53,11.14
47,60–90 m²,gut,2003–2017,10.33,8.94,12.89
48,90+ m²,einfach,bis 1918,6.3,4.84,9.24
49,90+ m²,einfach,1919–1949,6.2,5.2,7.24
50,90+ m²,einfach,1950–1964,5.53,4.94,6.12
51,90+ m²,einfach,1965–1972,7.27,5.89,8.37
52,90+ m²,einfach,1973–1990 West,5.29,4.83,5.54
53,90+ m²,einfach,1991–2002,8.05,6.71,9.42
54,90+ m²,einfach,2003–2017,12.08,8.61,13.92
55,90+ m²,mittel,bis 1918,6.84,4.93,9.91
56,90+ m²,mittel,1919–1949,6.08,5.16,8.6
57,90+ m²,mittel,1950–1964,6.84,5.68,11.54
58,90+ m²,mittel,1965–1972,5.46,5.12,6.21
59,90+ m²,mittel,1973–1990 West,7.72,6.04,8.76
60,90+ m²,mittel,1973–1990 Ost,5.31,4.66,5.62
61,90+ m²,mittel,1991–2002,8.28,7.29,9.64
62,90+ m²,mittel,2003–2017,10.19,8.9,12.87
63,90+ m²,gut,bis 1918,7.41,5.54,10.6
64,90+ m²,gut,1919–1949,6.76,5.75,9.03
65,90+ m²,gut,1950–1964,8.32,6.76,9.4
66,90+ m²,gut,1965–1972,8.39,7.62,8.99
67,90+ m²,gut,1973–1990 West,9.1,7.14,12.07
68,90+ m²,gut,1973–1990 Ost,5.38,5.14,6.0
69,90+ m²,gut,1991–2002,9.91,8.26,11.83
70,90+ m²,gut,2003–2017,11.63,9.44,13.84
